,X,lon,lat,Location,Pod1,Pod2,Pod3,Group,start_date,end_date,Ortho,Scene,order_id_s_h,valid_season
68,119,-100.771274,41.0875302,planet_C003819,C003819,,,planet,2020-01-01,2020-12-31,225,250,c7a68b1a-141b-4bdd-9d16-1624812194ef,Y
69,120,-100.7713798,41.08687275,planet_C003341,C003341,,,planet,2020-01-01,2020-12-31,225,250,df072e53-bfd8-4a96-abaa-17ca6d91b93e,Y
70,121,-100.7713885,41.08687182,planet_C003363,C003363,,,planet,2020-01-01,2020-12-31,225,250,b186a953-3da0-4789-9ec1-0c60e76f46ea,Y
71,122,-100.7711785,41.08749467,planet_C003366,C003366,,,planet,2020-01-01,2020-12-31,225,250,47e31abe-e35e-446d-af7b-e997ac2c08ef,Y
72,123,-100.771171,41.0875299,planet_C003142,C003142,,,planet,2020-01-01,2020-12-31,225,250,0940a648-18bb-46a1-bf50-999e7894aac5,Y
73,124,-100.7703807,41.08748582,planet_C003290,C003290,,,planet,2020-01-01,2020-12-31,225,250,7f2b4f4e-554e-49e7-8197-3ef5c6144650,Y
74,125,-100.7705569,41.08750774,planet_C003060,C003060,,,planet,2020-01-01,2020-12-31,225,250,6e2d0902-4b19-420b-8b92-31fda6544f13,Y
75,126,-100.7710863,41.0874754,planet_C004349,C004349,,,planet,2020-01-01,2020-12-31,225,250,cdb1407d-ca75-4a42-b7da-767b6776371e,Y
76,127,-100.771044,41.08748509,planet_C003960,C003960,,,planet,2020-01-01,2020-12-31,225,250,3683b231-59f0-47ae-b4f9-2925d457cdd0,Y
77,128,-100.7712754,41.08686415,planet_C004336,C004336,,,planet,2020-01-01,2020-12-31,225,250,38698489-d130-4d91-be66-4058d514b2aa,Y
78,129,-100.7712228,41.08685547,planet_C004182,C004182,,,planet,2020-01-01,2020-12-31,225,250,d6005d24-464e-4f85-864f-8f84f28eadb3,Y
79,130,-100.7717413,41.0868577,planet_C004115,C004115,,,planet,2020-01-01,2020-12-31,225,250,63853495-9cf9-4a0a-a502-b9050f9b30cf,Y
80,131,-100.77172,41.08688318,planet_C003919,C003919,,,planet,2020-01-01,2020-12-31,225,250,a6f01c5e-30d0-4f5a-9f05-cf9876f1c7a9,Y
81,132,-100.7707265,41.08752997,planet_C003257,C003257,,,planet,2020-01-01,2020-12-31,225,250,d35f9416-3f9e-44ba-80ba-212a71bd3e15,Y
82,133,-100.7707144,41.08752541,planet_C003179,C003179,,,planet,2020-01-01,2020-12-31,225,250,78e8ba9d-405d-41c6-a3a0-0456cb890963,Y
83,134,-100.771587,41.086858,planet_C003415,C003415,,,planet,2020-01-01,2020-12-31,225,250,31b9b555-c171-4e6d-a668-0b4b4bd64514,Y
84,135,-100.7715673,41.08689927,planet_C004345,C004345,,,planet,2020-01-01,2020-12-31,225,250,3612e4a4-917e-4578-8e26-f4e6fa8e81e9,Y
85,136,-100.7709452,41.08751408,planet_C003129,C003129,,,planet,2020-01-01,2020-12-31,225,250,8abeae97-5237-474a-aba5-7e37f8434103,Y
86,137,-100.770947,41.087509,planet_C003136,C003136,,,planet,2020-01-01,2020-12-31,225,250,f7eb2225-8607-4eee-88b7-3105d5051cd2,Y
87,138,-100.7705675,41.08754215,planet_C003151,C003151,,,planet,2020-01-01,2020-12-31,225,250,08873b53-1c4c-4e2c-8267-29680c658b09,Y
88,139,-100.770587,41.08750559,planet_C003208,C003208,,,planet,2020-01-01,2020-12-31,225,250,2b0140e6-7e0b-4c7c-b72d-37caa380d440,Y
89,140,-100.7710541,41.08688204,planet_C003002,C003002,,,planet,2020-01-01,2020-12-31,225,250,927f6649-465e-481d-b9fc-31d96fabd1c5,Y
90,141,-100.771064,41.08688013,planet_C003344,C003344,,,planet,2020-01-01,2020-12-31,225,250,61867926-df86-42b2-b917-0c9b9dd0ed8a,Y
91,142,-100.7711831,41.0868619,planet_C004342,C004342,,,planet,2020-01-01,2020-12-31,225,250,a29b6fd2-6202-4c1e-b37f-4e3f38d3e034,Y
92,143,-100.7711831,41.08685257,planet_C003963,C003963,,,planet,2020-01-01,2020-12-31,225,250,ac33982b-0b1a-4e49-bc66-64596cb1671a,Y
93,148,-121.5352587,38.10919185,planet_C004318,C004318,,,planet,2020-01-01,2020-12-31,250,250,a21a84ca-e3a1-4472-895c-46937f65a734,N
94,149,-121.5352646,38.10917617,planet_C003771,C003771,,,planet,2020-01-01,2020-12-31,250,250,421a9c44-701f-43b6-8167-28a47da6d1d5,N
95,152,-71.807,42.12085,whittier_upslope_2018,A000667,A000671,A000680,whittier_18_20,2018-06-01,2018-10-31,48,23,f5e8e4b6-dcd1-4b90-9898-e867aa2a904a,N
96,153,-71.8065,42.12179,whittier_midslope_2018,A000667,A000671,A000680,whittier_18_20,2018-06-01,2018-10-31,48,23,2d81c08f-3791-4924-9576-d79f7739e320,N
97,154,-71.80552,42.12291,whittier_downslope_2018,A000667,A000671,A000680,whittier_18_20,2018-06-01,2018-10-31,48,24,1e0e0b01-f4bd-4bfa-b537-4e2647f3f573,N
98,155,-71.807,42.12085,whittier_upslope_2019,A000667,A000671,A000680,whittier_18_20,2019-06-01,2019-10-31,216,86,b13c7367-84b1-4096-a4da-f390e7453545,N
99,156,-71.8065,42.12179,whittier_midslope_2019,A000667,A000671,A000680,whittier_18_20,2019-06-01,2019-10-31,216,87,a3e054a9-528c-4e44-864a-314adf9f57c0,N
100,157,-71.80552,42.12291,whittier_downslope_2019,A000667,A000671,A000680,whittier_18_20,2019-06-01,2019-10-31,216,85,2556b1db-545b-424d-b940-f12c177bef3e,N
101,158,-71.807,42.12085,whittier_upslope_2020,A000667,A000671,A000680,whittier_18_20,2020-06-01,2020-10-31,112,56,71f01459-4e22-4774-925f-a8c2ddc66586,Y
102,159,-71.8065,42.12179,whittier_midslope_2020,A000667,A000671,A000680,whittier_18_20,2020-06-01,2020-10-31,112,56,9b662535-541d-40e9-a67c-ac04a3744246,discard
103,160,-71.80552,42.12291,whittier_downslope_2020,A000667,A000671,A000680,whittier_18_20,2020-06-01,2020-10-31,112,55,d3828bbd-1bf8-4dde-ab25-ffe9f686078b,Y
104,161,-71.807,42.12085,whittier_upslope_2021,A000667,A000671,A000680,whittier_21,2021-06-01,2021-10-31,196,90,28c88dd3-b452-4e9b-b7f2-24920a193f39,N
105,162,-71.8065,42.12179,whittier_midslope_2021,A000667,A000671,A000680,whittier_21,2021-06-01,2021-10-31,196,89,2082a4bf-4662-47e3-85cd-4841a8188d9e,N
106,163,-71.80552,42.12291,whittier_downslope_2021,A000667,A000671,A000680,whittier_21,2021-06-01,2021-10-31,198,91,7062e927-c8a8-458e-915d-9486cdae2a74,N
107,37,37.39699,0.13175,kenya_A000551_1,A000551,,,kenya,2018-03-06,2018-09-15,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb,N
